rank,grade,username,uploads,subs,views,channel_id,category
1st,A-,Tata Motors,1608,191243,276658032,UCGk_EOyEtbl-XdbVHRPwnfQ,Autos
2nd,A-,Top Videos,6363,--,334521504,UCcm4AxX7WDNrdPC0O4ckfiQ,Autos
3rd,A-,Scotty Kilmer,1335,2371246,626093162,UCuxpxCCevIlF-k-K5YU8XPA,Autos
4th,A-,Audi USA,201,408252,105371031,UCuBV7qZtBMbnuB_0bXDoLaQ,Autos
5th,B+,Ford India,291,242227,350913776,UCV_CbM_Jy1tAsIpP8TC3FtQ,Autos
6th,B+,Webmotors,743,486822,145804123,UCz2Bb7YdduN4x7qN9oFrJjQ,Autos
7th,B+,carwow,1004,2265417,583932381,UCUhFaUpnq31m6TNX2VKVSVA,Autos
8th,B+,Dekja,1271,3447845,1699768798,UCZrnmK_rH5hKsNjb2mABBhw,Autos
9th,B+,Ford Brasil,67,253276,210827414,UCV1aAz5q_yh3jMOnLa-lk7Q,Autos
10th,B+,Grab Official,812,107132,675872593,UC0QKbvP4XKGCw5s4iSXGywQ,Autos
11th,B+,NissanThailand,456,80496,226987570,UCvTQLOSmhnnhZidPS3gOMZA,Autos
12th,B+,Volkswagen do Brasil,506,196944,238042114,UCBXtBstNh5iIgm07keup0Gw,Autos
13th,B+,Doug DeMuro,400,2892971,741959610,UCsqjHFMB_JYTaEnf_vmTNqg,Autos
14th,B+,Top Gear,1194,6551113,2239157647,UCjOl2AUblVmg2rA_cRgZkFg,Autos
15th,B+,EBSDocumentary (EBS 다큐),22909,1048250,984291455,UCFCtZJTuJhE18k8IXwmXTYQ,Autos
16th,B+,Carvana,18,13089,131438136,UCCXzwmWklkj1l6xBp0GxRLQ,Autos
17th,B+,DailyDrivenExotics,773,1662270,277637295,UCj_ARBxhCoF5JxUItcEUs7Q,Autos
18th,B+,Kia Motors México,413,69138,251852405,UC-YNbUCP3YOIOdiG1d2BJDw,Autos
