date,subscribers,views,earnings,channel_id
5/15/19,"183,524","242,186,901",$307 - $4.9K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/16/19,"184,286","243,339,235",$288 - $4.6K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/17/19,"185,007","244,653,340",$329 - $5.3K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/18/19,"185,692","245,929,014",$319 - $5.1K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/19/19,"186,242","247,056,564",$282 - $4.5K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/20/19,"186,712","248,114,444",$264 - $4.2K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/21/19,"187,120","249,038,403",$231 - $3.7K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/22/19,"187,494","252,059,262",$755 - $12.1K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/23/19,"188,247","266,579,573",$3.6K - $58.1K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/24/19,"188,597","270,742,954",$1K - $16.7K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/25/19,"188,856","271,524,298",$195 - $3.1K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/26/19,"189,072","272,766,883",$311 - $5K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/27/19,"189,281","273,409,537",$161 - $2.6K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/28/19,"189,460","273,727,752",$80 - $1.3K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/29/19,"189,664","274,022,574",$74 - $1.2K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/30/19,"189,855","274,339,966",$79 - $1.3K,UCGk_EOyEtbl-XdbVHRPwnfQ
5/31/19,"190,011","274,593,893",$63 - $1K,UCGk_EOyEtbl-XdbVHRPwnfQ
6/1/19,"190,136","274,668,632",$19 - $299,UCGk_EOyEtbl-XdbVHRPwnfQ
6/2/19,"190,301","274,769,098",$25 - $402,UCGk_EOyEtbl-XdbVHRPwnfQ
6/3/19,"190,461","274,913,907",$36 - $579,UCGk_EOyEtbl-XdbVHRPwnfQ
6/4/19,"190,672","275,010,471",$24 - $386,UCGk_EOyEtbl-XdbVHRPwnfQ
6/5/19,"190,830","275,141,298",$33 - $523,UCGk_EOyEtbl-XdbVHRPwnfQ
6/6/19,"190,885","275,357,754",$54 - $866,UCGk_EOyEtbl-XdbVHRPwnfQ
6/7/19,"190,967","275,584,573",$57 - $907,UCGk_EOyEtbl-XdbVHRPwnfQ
6/8/19,"191,022","275,788,415",$51 - $815,UCGk_EOyEtbl-XdbVHRPwnfQ
6/9/19,"191,063","276,051,898",$66 - $1.1K,UCGk_EOyEtbl-XdbVHRPwnfQ
6/10/19,"191,208","276,576,966",$131 - $2.1K,UCGk_EOyEtbl-XdbVHRPwnfQ
6/11/19,"191,350","277,127,404",$138 - $2.2K,UCGk_EOyEtbl-XdbVHRPwnfQ
6/12/19,"191,441","277,879,199",$188 - $3K,UCGk_EOyEtbl-XdbVHRPwnfQ
6/13/19,"191,455","277,968,461",$22 - $357,UCGk_EOyEtbl-XdbVHRPwnfQ
4/11/18,"540,543","287,120,785",$-1K,UCcm4AxX7WDNrdPC0O4ckfiQ
4/12/18,"540,543","288,719,862",$400 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/13/18,"540,543","290,492,399",$443 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/14/18,"540,543","292,427,332",$484 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/15/18,"540,543","294,155,489",$432 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/16/18,"540,543","295,589,593",$359 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/17/18,"540,543","296,715,130",$281 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/18/18,"540,543","298,585,142",$468 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/19/18,"540,543","300,169,077",$396 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/20/18,"540,543","301,734,257",$391 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/21/18,"540,543","302,527,315",$198 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/22/18,"540,543","304,050,805",$381 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/23/18,"540,543","305,331,839",$320 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/24/18,"540,543","306,907,789",$394 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/25/18,"540,543","307,705,025",$199 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/26/18,"540,543","309,002,767",$324 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/27/18,"540,543","310,436,201",$358 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/28/18,"540,543","311,544,663",$277 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/29/18,"540,543","312,725,464",$295 ,UCcm4AxX7WDNrdPC0O4ckfiQ
4/30/18,"540,543","313,789,723",$266 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/1/18,"540,543","315,010,412",$305 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/2/18,"540,543","315,936,678",$232 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/3/18,"540,543","317,237,533",$325 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/4/18,"540,543","318,177,271",$235 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/5/18,"540,543","319,283,302",$277 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/6/18,"540,543","320,310,808",$257 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/7/18,"540,543","321,215,400",$226 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/8/18,"540,543","322,520,061",$326 ,UCcm4AxX7WDNrdPC0O4ckfiQ
5/9/18,"540,543","326,713,284",$1K,UCcm4AxX7WDNrdPC0O4ckfiQ
5/10/18,"540,543","334,521,504",$2K,UCcm4AxX7WDNrdPC0O4ckfiQ
5/15/19,"2,259,394","586,617,648",$408 ,UCuxpxCCevIlF-k-K5YU8XPA
5/16/19,"2,265,434","588,405,426",$447 ,UCuxpxCCevIlF-k-K5YU8XPA
5/17/19,"2,269,955","590,077,299",$418 ,UCuxpxCCevIlF-k-K5YU8XPA
5/18/19,"2,275,030","591,894,362",$454 ,UCuxpxCCevIlF-k-K5YU8XPA
5/19/19,"2,280,249","593,570,850",$419 ,UCuxpxCCevIlF-k-K5YU8XPA
5/20/19,"2,285,990","595,236,394",$416 ,UCuxpxCCevIlF-k-K5YU8XPA
5/21/19,"2,290,941","596,942,904",$427 ,UCuxpxCCevIlF-k-K5YU8XPA
5/22/19,"2,295,871","598,450,922",$377 ,UCuxpxCCevIlF-k-K5YU8XPA
5/23/19,"2,299,271","599,790,824",$335 ,UCuxpxCCevIlF-k-K5YU8XPA
5/24/19,"2,302,912","601,230,127",$360 ,UCuxpxCCevIlF-k-K5YU8XPA
5/25/19,"2,307,718","602,061,388",$208 ,UCuxpxCCevIlF-k-K5YU8XPA
5/26/19,"2,312,352","604,275,465",$554 ,UCuxpxCCevIlF-k-K5YU8XPA
5/27/19,"2,316,611","605,649,966",$344 ,UCuxpxCCevIlF-k-K5YU8XPA
5/28/19,"2,321,754","607,186,788",$384 ,UCuxpxCCevIlF-k-K5YU8XPA
5/29/19,"2,326,055","608,654,582",$367 ,UCuxpxCCevIlF-k-K5YU8XPA
5/30/19,"2,329,982","610,029,092",$344 ,UCuxpxCCevIlF-k-K5YU8XPA
5/31/19,"2,333,408","611,461,345",$358 ,UCuxpxCCevIlF-k-K5YU8XPA
6/1/19,"2,337,459","613,171,875",$428 ,UCuxpxCCevIlF-k-K5YU8XPA
6/2/19,"2,341,430","614,522,284",$338 ,UCuxpxCCevIlF-k-K5YU8XPA
6/3/19,"2,345,625","616,038,092",$379 ,UCuxpxCCevIlF-k-K5YU8XPA
6/4/19,"2,349,792","617,469,587",$358 ,UCuxpxCCevIlF-k-K5YU8XPA
6/5/19,"2,353,329","618,979,032",$377 ,UCuxpxCCevIlF-k-K5YU8XPA
6/6/19,"2,356,629","620,353,967",$344 ,UCuxpxCCevIlF-k-K5YU8XPA
6/7/19,"2,360,048","621,694,606",$335 ,UCuxpxCCevIlF-k-K5YU8XPA
6/8/19,"2,363,484","623,036,710",$336 ,UCuxpxCCevIlF-k-K5YU8XPA
6/9/19,"2,367,125","624,490,409",$363 ,UCuxpxCCevIlF-k-K5YU8XPA
6/10/19,"2,370,662","625,803,055",$328 ,UCuxpxCCevIlF-k-K5YU8XPA
6/11/19,"2,374,026","627,130,977",$332 ,UCuxpxCCevIlF-k-K5YU8XPA
6/12/19,"2,376,923","628,483,214",$338 ,UCuxpxCCevIlF-k-K5YU8XPA
6/13/19,"2,377,354","628,697,080",$53 -,UCuxpxCCevIlF-k-K5YU8XPA
5/15/19,"405,604","138,479,296",$20 - $314,UCuBV7qZtBMbnuB_0bXDoLaQ
